Index,First Name,Last Name,Company,City,Country,Age,Annual_Income,Spending_Score,Years_as_Customer,Num_Purchases,Avg_Purchase_Value,Num_Complaints,Email_Opens_Rate,Website_Visits_Per_Month,Has_Mobile_App,Preferred_Channel,Region,CLV,Churn
19,Joann,Finley,Harvey PLC,Barrettshire,Montserrat,19,73523.55,45,12,20,194.99,3,0.4058,8,1,Online,North,4833.37,0
20,Thomas,Walsh,Best-Thomas,Roblesport,Kiribati,41,93188.33,20,2,18,305.59,0,0.2484,8,1,Online,West,2712.63,0
21,Cristina,Lam,Watts-Allison,West Jocelynfort,Korea,61,27028.65,17,7,29,31.51,3,0.3475,5,1,Store,North,3956.51,1
22,Vicki,Heath,"Cherry, Schultz and Ruiz",Port Cameronbury,Bangladesh,47,66259.38,71,3,21,76.91,2,0.2057,7,0,Online,West,2658.27,0
23,Glenn,Wang,Warner-Hodge,West Rachael,Gabon,55,41987.15,4,8,30,442.89,3,0.3308,8,0,Online,West,3426.17,0
24,Darius,Benitez,Giles LLC,Mejiashire,Jersey,19,45257.49,93,7,20,75.77,1,0.0845,10,1,Store,East,4379.23,0
25,Xavier,Cruz,Wiley Ltd,Mindyborough,Latvia,38,43152.12,14,14,20,20.01,2,0.1296,7,1,Store,North,4789.51,0
26,Douglas,Galloway,Duffy Inc,Eileenbury,Mongolia,50,37720.18,3,8,17,111.81,0,0.4811,5,0,Online,North,2753.67,0
27,Phyllis,Becker,Oneal and Sons,East Andre,Bouvet Island (Bouvetoya),29,55970.43,88,14,26,17.39,2,0.2176,12,1,Store,East,6121.21,0
28,Ebony,Murphy,Barry-Martinez,Atkinsfurt,Vanuatu,39,38381.0,80,7,23,34.01,1,0.1525,9,1,Store,South,4083.94,0
29,Tyler,Stevenson,Burns and Sons,North Joannashire,Sri Lanka,61,60409.14,58,11,18,958.23,0,0.1902,9,1,Online,South,5679.08,0
30,Cesar,Bernard,Potter-Ho,Mccormickville,Iraq,42,53995.24,55,6,19,116.92,3,0.2971,5,0,Store,North,3080.84,0
31,Darrell,Santos,Boone-Dawson,Lake Dwayne,Liechtenstein,66,50221.04,4,13,19,50.12,1,0.4549,4,1,Store,East,4220.79,0
32,Amanda,Santiago,Roberts-Heath,Benjaminchester,United Arab Emirates,44,36848.73,24,7,20,788.14,2,0.2402,6,1,Online,West,4059.65,0
33,Marcus,Mcdonald,Hays-Howell,East Brad,Azerbaijan,59,43464.57,34,5,18,509.7,1,0.3918,15,1,Store,West,4040.05,0
34,Lauren,Montes,Cohen-Copeland,Tonyville,Armenia,45,70107.82,30,7,20,87.17,0,0.0319,9,0,Store,North,2937.72,0
35,Brent,Hinton,"Petersen, Blackburn and Meyers",Tommyland,Mexico,33,65018.34,82,1,19,45.25,0,0.3027,6,1,Store,East,2903.95,0
36,Jill,Mayo,"Woodard, Haas and Mason",Port Carlside,Cuba,32,35448.9,19,1,20,273.39,1,0.1237,9,1,Store,North,2197.69,0
37,Herbert,Byrd,Sheppard-Dougherty,Kimmouth,South Georgia and the South Sandwich Islands,64,56986.65,31,9,27,188.62,2,0.4227,5,1,Store,North,4785.14,1
38,Don,Krueger,"Cortez, Hester and Villegas",Melendezland,Guinea,68,70027.74,60,14,25,174.2,1,0.1014,10,0,Store,East,5344.22,1
39,Cheryl,Gonzales,Walton-Drake,Pittmanmouth,Kenya,61,21611.89,60,5,21,335.4,1,0.3864,7,1,Store,North,3895.92,0
40,Rickey,Mays,"Escobar, Carrillo and Sloan",Hollandshire,United States of America,69,65867.2,19,13,20,175.4,1,0.133,10,0,Online,West,4464.98,0
41,Cassidy,Dillon,Coleman LLC,New Ebony,Liechtenstein,20,41747.52,49,5,27,50.07,0,0.2368,4,0,Online,South,3588.54,1
42,Christina,Bautista,Lane Ltd,Lake Don,Turks and Caicos Islands,54,66411.97,63,3,23,177.56,0,0.188,10,1,Online,West,3335.35,0
43,Alexandra,Castro,"Wall, Clay and Mcintosh",South Lynnton,Swaziland,68,39734.82,83,5,15,54.75,0,0.4079,5,1,Online,South,3814.84,0
44,Krystal,Mendoza,"Logan, Boyle and Villegas",West Henry,Panama,24,18902.36,22,3,18,213.59,1,0.5761,7,0,Online,East,2403.38,0
45,Ivan,Schroeder,"Peck, Nicholson and Knox",Port Grace,Saint Pierre and Miquelon,38,22449.15,24,9,17,145.04,3,0.0747,5,0,Online,North,3255.14,1
46,Stephanie,Bradshaw,Tanner LLC,East Paulaville,American Samoa,26,55961.7,76,9,19,12.09,1,0.0291,8,1,Phone,South,4321.88,0
47,Levi,Grimes,"Carpenter, Chang and Bass",Frederickfurt,Heard Island and McDonald Islands,56,60194.45,30,6,20,107.87,2,0.1608,6,1,Phone,East,3112.46,0
48,Peter,Sosa,Hensley and Sons,Donaldton,Sao Tome and Principe,35,36913.67,58,1,27,63.08,3,0.0665,9,1,Store,East,3216.74,0
49,Valerie,Haney,"Delgado, Rubio and Rose",Harryview,Cuba,21,67771.85,31,7,20,59.75,0,0.1543,5,0,Phone,East,2770.23,0
50,Tom,Gardner,Werner-Bean,New Samuel,Barbados,42,21769.6,100,7,17,138.29,1,0.1208,13,0,Phone,West,3682.02,0
51,Randall,Galloway,Brady Inc,Brightburgh,Isle of Man,31,53678.4,64,14,22,58.36,2,0.2337,8,1,Phone,West,5420.77,0
52,Perry,Whitaker,Odom LLC,North Jocelynberg,Western Sahara,67,30779.68,19,10,24,225.02,2,0.1355,10,1,Online,South,4341.48,0
53,Gloria,Mosley,Calderon Ltd,East Reneefurt,Fiji,26,41963.28,48,10,29,11.01,5,0.3713,6,1,Online,South,4979.75,0
54,Cameron,Little,Howell Group,North Angel,Netherlands,43,55947.97,45,4,15,161.99,4,0.6834,6,1,Store,West,2809.43,0
55,Glen,Gonzalez,Zamora-Ellis,Lake Isabelberg,Sudan,19,37791.73,100,8,23,248.48,2,0.2514,8,1,Online,South,4673.15,0
56,Melvin,Day,"Alvarez, Gaines and Sweeney",Jackbury,Reunion,37,47308.89,94,6,22,167.59,1,0.2537,10,1,Store,South,4730.88,0
57,Kent,Salinas,"Shelton, Robinson and Smith",Nicolasfurt,Guatemala,45,75125.86,55,4,23,103.14,0,0.4414,15,0,Online,North,3285.58,0
58,Stacey,Martinez,"Rasmussen, Bauer and Lyons",Mauriceview,Uzbekistan,64,43462.16,55,4,27,450.28,2,0.5061,10,1,Online,South,4106.43,0
59,Jennifer,Fleming,Schaefer-Chambers,Shepherdfort,Barbados,24,71713.84,97,2,24,53.49,2,0.0147,11,0,Online,East,3425.52,0
60,Teresa,Oconnell,"Mayo, Buchanan and Owen",Lake Douglas,Turkmenistan,61,32405.86,18,14,25,10.0,3,0.2343,8,0,Store,North,4306.03,1
61,Bruce,Bass,"Day, Wiley and Mclaughlin",Juarezbury,China,25,65596.08,63,2,27,84.84,1,0.2174,9,0,Store,South,2906.38,0
62,Sarah,Sweeney,Madden-Ho,Mejiamouth,Equatorial Guinea,64,83831.37,92,12,15,10.0,1,0.2382,6,0,Store,North,4812.25,0
63,Eddie,Salinas,Howard Group,North Frederick,Cook Islands,52,15000.0,47,14,21,461.66,1,0.5026,7,1,Online,East,5216.45,0
64,Trevor,Rowland,"Ritter, Fox and English",Deanchester,Nigeria,31,39062.09,75,4,26,35.34,2,0.2347,5,1,Store,South,3985.49,1
65,Marcus,Chang,"Maynard, Lambert and Blake",North Monica,Western Sahara,34,66541.44,57,5,21,233.33,0,0.1864,12,1,Store,North,3827.05,0
66,Sabrina,Roberts,Stewart-Diaz,Port Pennyton,Bhutan,53,50939.09,45,8,20,223.46,1,0.5466,5,1,Store,South,4065.97,0
67,Norman,French,Becker-Mata,South Emma,Marshall Islands,67,62422.92,33,6,17,36.83,0,0.3661,13,1,Online,North,3535.49,0
68,Lonnie,Novak,Hayden Inc,East Malloryville,French Guiana,57,42920.3,17,14,21,145.62,2,0.2846,11,0,Online,North,4319.94,0
69,Casey,Bauer,Houston-Woodard,New Brettfurt,Reunion,21,56731.8,70,4,24,10.0,1,0.3739,8,1,Online,East,3926.08,0
70,David,Goodman,"Macdonald, Byrd and Williams",Juliantown,Nigeria,19,51886.46,4,13,20,99.12,4,0.0601,5,1,Store,East,4038.35,1
71,Garrett,Rosario,Becker-Terrell,Marissaland,Philippines,23,78355.64,20,11,30,10.0,1,0.1333,11,0,Online,South,4495.13,0
72,Colin,Vaughan,"Mooney, Reed and Ingram",New Shelleyfort,United States Virgin Islands,59,60088.42,47,7,20,381.02,0,0.0859,7,1,Online,West,4271.33,0
73,Maxwell,Griffin,Mcdowell-Adkins,North Kentland,Turkmenistan,21,61752.05,91,8,24,559.99,1,0.5195,12,0,Online,South,5446.79,0
74,Diamond,Barnett,"Walker, Andersen and Reeves",New Patriciamouth,Trinidad and Tobago,46,46762.46,15,2,24,37.71,2,0.1375,7,1,Store,North,2975.73,1
75,Kellie,Munoz,Flynn-Chapman,New Samantha,Greenland,35,45247.88,70,12,19,35.0,0,0.2699,6,1,Store,East,5344.65,0
76,Sandy,Finley,Shah-Hanna,Glasshaven,Kiribati,43,46348.84,47,7,19,210.19,0,0.1723,7,1,Store,East,3700.57,1
77,Katelyn,Petersen,Solis-Hardin,South Patricia,Saint Vincent and the Grenadines,61,62889.04,78,14,19,43.83,2,0.1123,7,0,Store,North,4878.15,0
78,Neil,Murray,Washington-Ramirez,East Stephanie,Afghanistan,51,46580.31,75,2,26,338.18,5,0.5817,3,1,Online,West,3517.78,1
79,Carlos,Wilcox,"Vega, Yoder and Ayala",East Katelynmouth,Slovenia,27,60795.5,9,2,23,127.97,0,0.3564,6,1,Online,East,2622.61,0
80,Adrienne,Lamb,"Henderson, Vega and Jensen",South Karl,Gambia,53,96508.02,90,8,14,64.8,0,0.6681,9,0,Online,West,4379.64,0
81,Traci,Levy,"Simon, Flores and Carr",New Erica,Kiribati,31,72422.49,16,2,22,268.19,0,0.2367,10,1,Online,East,2308.55,0
82,Tammy,Harmon,Kidd-Stone,Chaneychester,Yemen,48,48479.53,69,11,22,102.01,3,0.1615,6,0,Phone,North,4309.02,0
83,Nicholas,Arias,Yoder-Bowen,Lake Gavinburgh,Holy See (Vatican City State),65,79024.28,61,9,19,363.94,4,0.4673,9,0,Store,South,4203.25,0
84,Sydney,Solis,"Wu, Strong and Flynn",Welchburgh,Suriname,32,46838.49,10,12,25,394.69,3,0.0642,8,0,Store,South,3915.61,1
85,Jody,Beltran,Buchanan-Barton,Kristihaven,Heard Island and McDonald Islands,25,15000.0,50,1,17,27.12,0,0.3451,7,1,Online,West,2239.85,0
86,Autumn,Choi,Bates LLC,Port Scott,Uganda,31,34838.27,3,9,19,10.0,1,0.4317,10,0,Online,South,3280.94,0
87,Chelsey,Boyer,"Goodman, Carrillo and Stein",Selenaville,Morocco,40,17584.16,77,1,19,619.63,3,0.5666,2,1,Online,North,3569.89,0
88,Trevor,Key,"Escobar, Adams and Huber",New Ryan,Palestinian Territory,57,47969.73,94,10,16,354.89,2,0.215,8,0,Store,South,4886.68,0
89,Bridget,Molina,Greene-Mays,East Brookebury,Chad,38,55368.37,70,13,22,10.0,1,0.2637,6,0,Online,West,4628.76,0
90,Calvin,Rocha,Werner-Key,Wayneborough,Cameroon,33,88528.75,81,10,21,268.49,1,0.2425,11,0,Online,North,4221.6,0
91,Austin,Matthews,"Sandoval, Parker and Mcdowell",Aimeeville,Macedonia,62,61538.55,51,2,18,91.82,3,0.2932,12,1,Store,North,2694.36,1
92,Molly,Murphy,Mercado PLC,Ericamouth,British Virgin Islands,35,50617.99,19,6,24,44.96,1,0.0783,12,0,Phone,East,2174.54,0
93,Jeremy,Haynes,"Cruz, Roach and Lynch",Breannaton,Central African Republic,64,71588.11,42,6,22,316.48,2,0.5382,9,0,Online,East,3533.73,0
94,Don,Henry,"Giles, Kerr and Stafford",Marcusburgh,China,41,15000.0,35,1,22,32.85,2,0.291,8,1,Online,South,2620.49,1
95,Dakota,Bowman,Gomez-Tapia,West Barbarafurt,China,43,59712.29,46,7,27,441.47,2,0.5344,4,1,Online,West,4236.61,1
96,Manuel,Maynard,"Ellison, Berger and Osborn",Lake Calvin,Niger,42,70417.3,26,8,24,34.53,0,0.4672,12,0,Store,North,3603.51,0
97,Howard,Simmons,Winters-Cohen,Mitchellmouth,Romania,62,25428.28,69,2,22,142.66,4,0.4861,4,1,Online,South,3398.42,1
98,Jeffery,Wall,Santos-Barnett,Jonathonhaven,Cambodia,58,77875.08,93,8,20,37.86,1,0.2492,5,0,Store,South,3922.56,0
99,Colleen,Estes,"Garrett, Sharp and Kaufman",Lake Alisonside,Greece,46,61769.93,64,9,32,118.34,1,0.0931,5,1,Store,East,5020.03,0
100,Bianca,Henry,Harrell-Johns,Garrettstad,Albania,32,46694.24,37,6,22,172.79,0,0.1711,5,0,Online,South,2992.96,0
101,Michelle,Good,"Randall, Harding and Powers",New Johnnychester,Korea,62,67655.64,84,5,23,31.65,2,0.2632,7,0,Online,South,3918.13,0
102,Eileen,Skinner,Yang Ltd,New Kristophershire,Mexico,18,100413.86,49,12,17,110.37,0,0.3061,7,0,Online,East,4594.25,0
103,Kyle,Richmond,Hart Group,New Arielfurt,Dominican Republic,42,58637.33,21,9,26,94.97,1,0.4734,6,0,Online,South,3838.58,0
104,Omar,Davies,"Rich, Oneill and Daniels",Dicksonburgh,Guinea,24,59964.41,74,13,18,11.05,2,0.48,10,1,Online,South,5130.37,0
105,Chelsea,Giles,Curtis Inc,Evanfort,Kuwait,26,45812.78,64,12,26,255.82,1,0.2713,4,0,Store,North,5411.81,0
106,Pam,Crane,Patton-English,East Taylorborough,Cameroon,41,38003.11,5,11,25,61.35,0,0.3375,8,0,Store,South,3742.45,1
107,Sandy,Kaufman,Gillespie-Kemp,East Taylorville,Antigua and Barbuda,18,71606.72,100,9,24,128.2,2,0.1827,7,1,Online,East,5466.05,0
108,Madison,Clark,"Atkinson, Benitez and Tapia",Cristianmouth,Nigeria,61,37878.32,70,1,17,108.47,0,0.4372,6,1,Store,East,3319.6,0
109,Leah,Coffey,Rasmussen-Frederick,Lake Darrell,Slovenia,25,56431.32,90,11,18,108.0,0,0.4364,9,0,Online,North,4904.4,0
110,Julie,Montgomery,"Brady, Le and Sherman",New Mathew,Northern Mariana Islands,41,45446.85,4,3,27,17.01,2,0.2575,8,0,Store,East,2124.02,0
111,Darrell,Small,Nicholson LLC,Lake Warrenmouth,Reunion,28,64579.6,39,9,23,82.61,1,0.4708,12,0,Store,East,3645.41,0
112,Andrew,Bolton,Sutton-David,East Nathanmouth,United Arab Emirates,68,61673.24,35,11,25,90.32,3,0.2935,11,0,Store,East,3712.11,0
113,Jaime,Hayden,Higgins Ltd,Mullenmouth,Iran,34,75750.8,1,2,17,198.44,3,0.363,7,0,Online,South,1181.09,1
114,Logan,Carney,Jensen-Crawford,Omarport,Gibraltar,25,44799.67,24,12,24,274.9,0,0.5769,6,0,Store,North,4571.06,0
115,Pedro,Franco,"Acevedo, Blanchard and Deleon",West Sharonville,Oman,52,49602.5,57,4,23,118.11,0,0.5659,14,1,Store,West,2955.53,0
116,Daryl,Meza,Roberts-Curry,West Jennifer,Hungary,52,35424.73,100,4,24,13.62,2,0.2193,6,1,Online,North,4420.56,0
117,Haley,Levine,Bowers-Nichols,Jacobfort,Tuvalu,50,46114.13,70,2,29,40.54,4,0.6631,15,1,Store,North,3811.79,1
118,Caitlyn,Vazquez,"Burnett, Carter and Shah",New Bruce,Maldives,22,62546.01,41,3,23,27.04,1,0.7268,13,0,Store,North,2314.78,0
119,Keith,Combs,"Bryant, Blankenship and Orozco",North Pattystad,Vietnam,59,70139.77,54,13,20,19.96,3,0.5339,8,1,Online,West,5190.86,1
120,Hayden,Cline,"Garrison, Kelley and Choi",Julianberg,Ireland,56,36556.69,46,3,18,68.33,0,0.1287,6,1,Online,West,3027.19,0
121,Jeanette,Sanford,"Sutton, Doyle and Velez",Wadeborough,Dominica,58,72392.12,60,1,26,39.09,3,0.0422,4,1,Store,East,3176.04,0
122,Brandon,Richmond,Gould Ltd,Beardfort,Pakistan,45,82112.76,60,6,18,36.94,2,0.213,13,1,Online,South,4145.26,0
123,Latasha,Miller,Romero Group,East Glenfort,Aruba,24,63268.7,57,8,24,10.0,2,0.396,15,1,Online,East,3935.18,0
124,Shaun,Luna,"Sparks, Garcia and Maxwell",West Emma,Uganda,26,92535.92,31,12,15,10.0,4,0.2949,8,0,Online,East,4051.86,1
125,Allen,Mayer,Giles-Mooney,West Terrenceburgh,Comoros,25,39524.22,84,3,20,16.27,1,0.1133,9,1,Online,West,3308.91,0
126,Yvonne,Jordan,"Oneal, Barker and Kaufman",South Caseyside,Timor-Leste,29,30106.91,24,5,19,28.35,3,0.3318,7,0,Online,East,1901.56,1
127,Joanne,Miranda,Perkins LLC,Aguilarchester,Niue,51,19425.6,89,1,23,84.58,0,0.1103,7,0,Online,East,2462.87,0
128,Jaclyn,Rice,Madden-Lewis,New Saraberg,Spain,50,84920.89,36,10,23,107.16,1,0.127,7,0,Online,West,3873.15,0
129,Glen,Conway,"Bullock, West and Becker",Corystad,Nigeria,65,68087.31,85,7,22,22.73,1,0.2079,6,1,Store,North,4504.42,0
130,Stacey,Travis,Medina-Castro,Dudleyfurt,Ethiopia,40,53888.31,30,10,27,82.95,2,0.3954,7,1,Online,North,4257.7,0
131,Courtney,Hughes,Benitez LLC,Knoxfurt,Marshall Islands,41,60599.37,24,13,19,62.73,1,0.2827,5,1,Online,West,4490.15,0
132,Raven,Nelson,"Suarez, Hull and Key",East Kristenfort,Luxembourg,54,32490.22,30,1,23,30.4,0,0.3591,8,0,Online,South,1803.0,0
133,Kyle,Odonnell,Andrews-Harmon,Wallacemouth,Gabon,52,103915.04,86,12,20,10.0,2,0.4565,8,0,Online,East,4745.88,1
134,Sherry,Ponce,Petty Ltd,Holdenfurt,Isle of Man,61,57584.42,92,11,27,94.39,3,0.5772,3,1,Online,North,5508.3,1
135,Kirk,Villa,"Norris, Bailey and Campbell",Ericaside,Myanmar,57,57187.9,7,9,30,173.59,1,0.2788,17,1,Online,West,4387.32,0
136,Luke,Lucas,Snow-Avila,Pagebury,Belgium,39,69515.33,35,8,19,38.48,3,0.06,8,1,Store,South,4309.02,0
137,Lynn,Tran,Ware LLC,Latoyaside,Tunisia,44,64620.18,55,7,23,21.2,1,0.0557,9,0,Online,East,3648.32,0
138,Brian,Beasley,Chaney-Porter,North Daryl,Burkina Faso,52,59477.68,92,10,13,327.11,1,0.3284,13,1,Online,West,5009.61,0
139,Christopher,Savage,Armstrong-Contreras,Port Isabellachester,Iran,18,39190.51,14,7,24,48.24,5,0.3647,11,0,Store,West,2942.05,1
140,Dominique,Mckinney,"Sharp, Fleming and Gregory",Port Erin,Kazakhstan,52,64429.37,10,5,20,37.97,2,0.4422,7,1,Online,West,2756.39,1
141,Dwayne,Crane,Mcdaniel and Sons,North Jessicaview,Montenegro,54,92640.49,80,5,20,291.84,0,0.4675,13,1,Store,East,4384.12,0
142,Autumn,Cuevas,Hahn Ltd,Mccoyfort,Burundi,64,81908.4,16,11,20,254.83,3,0.1507,9,0,Store,North,4184.54,0
143,Gregory,Collins,Fleming Inc,Port Grantton,Micronesia,31,86863.73,54,13,27,89.23,0,0.1809,11,1,Online,East,5243.48,0
144,Isaac,Schmidt,Clements-Ayala,West Jasminfort,Ukraine,20,44775.69,95,5,26,100.78,1,0.2155,6,1,Phone,East,4751.44,0
145,Bradley,Rangel,Castillo and Sons,Lake Bianca,Montserrat,18,35207.9,89,1,14,36.84,0,0.2147,8,1,Phone,North,3357.73,0
146,Paige,Page,"Mullins, James and Herman",Kaufmanfurt,French Guiana,22,52484.26,77,8,24,12.23,3,0.3289,3,1,Online,West,4319.95,0
147,Gwendolyn,Bradshaw,"Gay, Bush and Goodman",East Jonathan,Mali,43,56114.5,70,12,23,127.8,1,0.2524,4,0,Phone,South,5146.79,0
148,Belinda,Ferguson,"Lewis, Bowman and Craig",Moralesport,Lao People's Democratic Republic,31,76883.83,44,11,24,15.53,1,0.0523,10,0,Store,South,4793.69,0
149,Ivan,Hines,Aguilar Ltd,Lake Samantha,Qatar,56,21150.71,73,1,23,89.48,3,0.5453,8,1,Phone,North,3294.8,0
150,Brett,Lin,"Mccoy, Larsen and Stevens",Nortonmouth,Saint Helena,44,85591.01,45,4,15,423.26,2,0.2296,9,1,Store,North,3267.59,0
151,Katherine,Williams,Kelly PLC,Juarezville,Armenia,26,51839.84,100,9,17,458.11,2,0.2699,8,1,Store,West,5405.66,0
152,Andre,Burgess,Zhang-Stevenson,Mooremouth,Moldova,32,46462.38,56,14,22,41.03,2,0.5629,8,1,Online,South,5168.46,0
153,Laura,Decker,"Levy, Moyer and Fernandez",West Pamela,South Georgia and the South Sandwich Islands,32,34757.91,84,9,30,146.77,2,0.2943,8,0,Online,South,4687.93,0
154,Tommy,Herman,Espinoza-Tyler,North Robert,United States Minor Outlying Islands,43,21902.87,82,5,15,96.39,2,0.0261,6,0,Online,West,2903.03,1
155,Amber,Lyons,Ward-Mcintosh,South Kaitlyn,Zambia,59,71463.41,57,4,20,312.74,1,0.51,15,1,Online,North,3215.42,0
156,Shelia,Yang,"Coffey, Watson and Wilkins",Lake Edwintown,American Samoa,30,56466.36,21,3,18,47.5,1,0.1166,5,1,Phone,North,2534.85,0
157,Russell,Martin,Duffy-Zuniga,East Megan,Angola,68,29200.78,68,3,25,10.0,0,0.1242,5,1,Online,West,3556.82,0
158,Yvette,Willis,"Hamilton, Solis and Salazar",South Tamarafort,Kuwait,49,29098.42,50,12,16,26.61,0,0.2997,10,1,Store,North,4757.29,0
159,Don,Ho,Stark-Glover,Riosport,Uganda,56,48284.31,33,5,13,64.51,2,0.2013,12,1,Online,East,1497.9,0
160,Ellen,Torres,Cook PLC,New Chelsey,Kuwait,66,88380.43,91,10,16,56.91,0,0.0368,8,1,Online,North,5030.48,0
161,Hayley,Morse,"Henry, Mcdonald and Austin",Lorrainefort,Iraq,69,49808.17,7,1,17,235.07,1,0.3176,6,0,Store,East,1516.14,0
162,Ellen,Kerr,Duncan LLC,Port Jocelyn,Micronesia,49,24937.14,70,5,17,171.18,1,0.3631,7,0,Online,South,2784.54,0
163,Martha,Cruz,Copeland-Freeman,New Kaylashire,Bolivia,21,50085.14,15,6,26,53.41,2,0.2565,3,1,Phone,South,3284.66,0
164,Douglas,Carson,Ferguson Ltd,Branchview,Israel,47,49545.53,82,7,19,91.8,2,0.1976,10,1,Online,North,4528.36,0
165,Toni,Cline,Robles-Davies,Ortegaside,Ecuador,54,15000.0,32,12,36,15.07,2,0.1851,9,0,Online,West,4766.28,0
166,Robyn,Berger,Suarez Group,South Karen,Lesotho,40,53914.1,75,9,18,342.63,0,0.5626,6,0,Online,North,4255.52,0
167,Calvin,Roach,"Wilkins, Goodman and Cummings",North Melvin,Wallis and Futuna,56,50381.31,20,3,26,410.99,1,0.6616,16,0,Online,West,2947.81,0
168,Angel,Park,"Barry, Thomas and Oconnor",South Marciafurt,Morocco,62,68924.13,88,2,23,585.34,5,0.2484,10,0,Online,South,4239.5,1
169,Bradley,Delacruz,Mathis-Rocha,Ortegaland,Cote d'Ivoire,32,91979.12,15,14,21,304.37,2,0.5649,9,0,Online,South,4521.66,0
170,Donald,Cross,"Donovan, Key and Leblanc",Bruceville,Saint Helena,60,77531.3,48,3,18,28.67,1,0.4082,8,1,Store,South,3049.56,0
171,Jeremiah,Guerrero,"Cole, Franco and Alvarez",New Erikville,French Polynesia,46,49622.23,71,12,27,10.0,1,0.3152,9,0,Online,West,4704.39,0
172,Perry,Trujillo,"Yoder, Watkins and Singh",Lake Joyton,Panama,53,32869.48,21,9,24,129.98,3,0.03,10,1,Online,West,4661.03,0
173,Brent,Beasley,Mendoza Group,South Kimberly,Antigua and Barbuda,30,106467.2,42,12,19,365.6,2,0.1363,10,0,Store,South,4429.94,0
174,Ariana,Velasquez,Stokes-Haney,South Codyfurt,Ireland,49,56184.37,26,7,19,29.28,1,0.2027,6,0,Online,North,2389.61,0
175,Don,Vincent,Norton-Watkins,Sanfordmouth,Luxembourg,24,55278.59,14,9,17,10.0,2,0.204,7,1,Online,West,3720.37,0
176,Bradley,Blair,"Mullins, Huber and Dillon",Franciscochester,Montenegro,68,54517.5,57,13,15,245.6,2,0.5162,9,1,Store,East,4581.98,0
177,Henry,Conway,"Clarke, Fleming and Porter",Fordton,Saint Kitts and Nevis,39,58961.7,37,2,21,11.99,0,0.11,5,0,Store,South,2579.99,0
178,Norman,Waters,Welch-Romero,West Stacey,Rwanda,45,52112.79,58,5,22,80.09,1,0.5201,5,1,Store,West,3867.2,0
179,Breanna,Miranda,Mejia Group,Colinberg,India,19,43526.76,21,13,23,170.39,2,0.2567,7,0,Store,South,4023.52,0
180,Seth,Osborne,Rollins-Carson,East Kaylee,Holy See (Vatican City State),59,44062.82,82,4,25,40.53,1,0.3258,12,0,Online,East,3645.79,0
